<L3Circuits>,,,,,,,,,,
Name,NodeA,InterfaceA,NodeB,InterfaceB,Capacity,L1CircuitNodeA,L1CircuitPortA,L1CircuitNodeB,L1CircuitPortB,Tags
I1001/GE100/NYCXNYCR/NYCXNYTR,NYCXNYCR-0555804A,HundredGigE0/5/0/10/2.4001,NYCXNYTR-0335017A,HundredGigE0/5/0/10/2.4001,100000,NYCXNYCR-0555801A,I1001/OTUC2/NYCXNYCR/NYCXNYTR,NYCXNYTR-0335015A,I1001/OTUC2/NYCXNYCR/NYCXNYTR,L1 circuit field is correct as provided
I1001/GE100/CLCRNYCC/STNVNYST,CLCRNYCC-0110109A,HundredGigE0/0/0/0.4001,STNVNYST-0110802A,HundredGigE0/0/0/0.4001,100000,,,,,L1 circuit not found
I1001/GE100/DLMRDEDM/GMBODEGB,DLMRDEDM-0112212A,HundredGigE0/2/0/11/2.4001,GMBODEGB-0110501A,HundredGigE0/0/0/11/2.4001,100000,,,,,L1 circuit field is correct as provided
I1001/GE100/NTLYNJNU/NWRKNJ02,NTLYNJNU-0112612A,HundredGigE0/3/0/11/2.4001,NWRKNJ02-0662311A,HundredGigE0/9/0/10/2.4001,100000,NTLYNJNU-0112618A,I1001/OTUC2/NTLYNJNU/NWRKNJ02,NWRKNJ02-0662323A,I1001/OTUC2/NTLYNJNU/NWRKNJ02,L1 circuit field is correct as provided
I1001/GE100/PKSKNYPS/YNKRNYYN,PKSKNYPS-0110520A,HundredGigE0/4/0/11/2.4001,YNKRNYYN-0337806A,HundredGigE0/6/0/10/2.4001,100000,PKSKNYPS-0110517A,I1001/OTUC2/PKSKNYPS/YNKRNYYN,YNKRNYYN-0337803A,I1001/OTUC2/PKSKNYPS/YNKRNYYN,L1 circuit field is correct as provided
I1002/GE100/LYBRNYLB/NYCMNY56,LYBRNYLB-01153A08A,HundredGigE0/10/0/11/2.4001,NYCMNY56-0880501A,HundredGigE0/2/0/11/2.4001,100000,LYBRNYLB-01153A02A,I1002/OTUC2/LYBRNYLB/NYCMNY56,NYCMNY56-0880504A,I1002/OTUC2/LYBRNYLB/NYCMNY56,L1 circuit field is correct as provided
I1001/GE100/ATHGNJAH/PAMBNJPM,ATHGNJAH-0111022A,HundredGigE0/2/0/11/2.4001,PAMBNJPM-0330754A,HundredGigE0/1/0/10/2.4001,100000,ATHGNJAH-0111016A,I1001/OTUC2/ATHGNJAH/PAMBNJPM,PAMBNJPM-0330748A,I1001/OTUC2/ATHGNJAH/PAMBNJPM,L1 circuit field is correct as provided
I1002/GE40/MCTWNJPN/MCTWNJPN,MCTWNJPN-0110003A,FortyGigE0/4/0/4.4001,MCTWNJPN-0110102A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/NYCMNYCA/NYCXNYCR,NYCMNYCA-0221601A,HundredGigE0/1/0/10/2.4001,NYCXNYCR-0555804A,HundredGigE0/3/0/11/2.4001,100000,NYCMNYCA-0221604A,I1001/OTUC2/NYCMNYCA/NYCXNYCR,NYCXNYCR-0555801B,I1001/OTUC2/NYCMNYCA/NYCXNYCR,L1 circuit field is correct as provided
I1001/GE100/NYCMNY56/WHPLNYWP,NYCMNY56-0880501A,HundredGigE0/3/0/11/2.4001,WHPLNYWP-0225209A,HundredGigE0/11/0/11/2.4001,100000,,,,,L1 circuit field is correct as provided
I1002/GE40/PHBGNJPH/PHBGNJPH,PHBGNJPH-0111401A,FortyGigE0/0/7/0,PHBGNJPH-0111408A,FortyGigE0/12/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/HCVLNYHV/LVTWNYLT,HCVLNYHV-0115208A,HundredGigE0/5/0/10/2.4001,LVTWNYLT-0111908A,HundredGigE0/7/0/11/2.4001,100000,HCVLNYHV-0115202A,I1001/OTUC2/HCVLNYHV/LVTWNYLT,LVTWNYLT-0111902A,I1001/OTUC2/HCVLNYHV/LVTWNYLT,L1 circuit field is correct as provided
I1001/GE100/RMSYNJRM/RVDLNJPL,RMSYNJRM-0111607A,HundredGigE0/4/0/11/2.4001,RVDLNJPL-0226429A,HundredGigE0/15/0/11/2.4001,100000,RMSYNJRM-0111613A,I1001/OTUC2/RMSYNJRM/RVDLNJPL,RVDLNJPL-0226328A,I1001/OTUC2/RMSYNJRM/RVDLNJPL,L1 circuit field is correct as provided
I1022/GE100/WAYNNJAWW01/WAYNNJAWW01,WAYNNJAWW010120410,HundredGigE0/0/1/1.4001,WAYNNJAWW010120411A,HundredGigE0/14/0/0.4001,100000,,,,,L1 circuit field is correct as provided
I1001/GE100/NYCXNYJE/NYCXNYMH,NYCXNYJE-0220814A,HundredGigE0/5/0/10/2.4001,NYCXNYMH-0223404A,HundredGigE0/6/0/10/2.4001,100000,NYCXNYJE-0220817A,I1001/OTUC2/NYCXNYJE/NYCXNYMH,NYCXNYMH-0223401A,I1001/OTUC2/NYCXNYJE/NYCXNYMH,L1 circuit field is correct as provided
I1002/GE40/NBRGNJNB/NBRGNJNB,NBRGNJNB-0113102A,FortyGigE0/0/7/0,NBRGNJNB-0113129A,FortyGigE0/12/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/OSNGNYOS/YNKRNYYN,OSNGNYOS-0222110A,HundredGigE0/1/0/11/2.4001,YNKRNYYN-0337806A,HundredGigE0/9/0/11/2.4001,100000,OSNGNYOS-0222107A,I1001/OTUC2/OSNGNYOS/YNKRNYYN,YNKRNYYN-0337803A,I1001/OTUC2/OSNGNYOS/YNKRNYYN,L1 circuit field is correct as provided
I1001/GE100/NYCMNY56/NYCMNY79,NYCMNY56-0880501A,HundredGigE0/5/0/10/2.4001,NYCMNY79-0446406A,HundredGigE0/1/0/10/2.4001,100000,NYCMNY56-0880504A,I1001/OTUC2/NYCMNY56/NYCMNY79,NYCMNY79-0446403A,I1001/OTUC2/NYCMNY56/NYCMNY79,L1 circuit field is correct as provided
I1002/GE100/LGBRNJLB/PTPLNJPP,LGBRNJLB-0111502A,HundredGigE0/4/0/11/2.4001,PTPLNJPP-0110509A,HundredGigE0/4/0/11/2.4001,100000,LGBRNJLB-0111503A,I1003/OTUC2/LGBRNJLB/PTPLNJPP,PTPLNJPP-0110515A,I1003/OTUC2/LGBRNJLB/PTPLNJPP,L1 circuit field is correct as provided
I1002/GE40/LDVLNJLD/LDVLNJLD,LDVLNJLD-0110608A,BDI4002,LDVLNJLD-0110613A,FortyGigE0/3/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/FTLENJLE/FTLENJLE,FTLENJLE-0220819A,FortyGigE0/0/8/0,FTLENJLE-0221808A,FortyGigE0/11/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/TMRVNJTR/VNHSNJVH,TMRVNJTR-0112109A,HundredGigE0/3/0/11/2.4001,VNHSNJVH-0110708A,HundredGigE0/3/0/11/2.4001,100000,TMRVNJTR-0112103A,I1001/OTUC2/TMRVNJTR/VNHSNJVH,VNHSNJVH-0110702A,I1001/OTUC2/TMRVNJTR/VNHSNJVH,L1 circuit field is correct as provided
I1008/GE100/SYOSNYGN/SYOSNYGN,SYOSNYGN-0121216,HundredGigE0/0/1/1.4001,SYOSNYGN-0121217A,HundredGigE0/13/0/0.4001,100000,,,,,L1 circuit field is correct as provided
I1001/GE100/DYTWPADB/FTWSPAFW,DYTWPADB-0112410A,HundredGigE0/4/0/11/2.4001,FTWSPAFW-0330606A,HundredGigE0/5/0/11/2.4001,100000,DYTWPADB-0112407A,I1001/OTUC2/DYTWPADB/FTWSPAFW,FTWSPAFW-0330612A,I1001/OTUC2/DYTWPADB/FTWSPAFW,L1 circuit field is correct as provided
I1001/GE100/CLWLNJCW/LVTNNJLI,CLWLNJCW-0113202A,HundredGigE0/4/0/11/2.4001,LVTNNJLI-0221002A,HundredGigE0/13/0/10/2.4001,100000,CLWLNJCW-0113208A,I1001/OTUC2/CLWLNJCW/LVTNNJLI,LVTNNJLI-0221008A,I1001/OTUC2/CLWLNJCW/LVTNNJLI,L1 circuit field is correct as provided
I1001/GE100/BCYNPABC/PHLAPASH,BCYNPABC-0001105A,HundredGigE0/0/0/11/2.4001,PHLAPASH-0113118A,HundredGigE0/3/0/11/2.4001,100000,BCYNPABC-0001102A,I1001/OTUC2/BCYNPABC/PHLAPASH,PHLAPASH-0113218A,I1001/OTUC2/BCYNPABC/PHLAPASH,L1 circuit field is correct as provided
I1001/GE100/FRDLNYFM/LHSTNYLH,FRDLNYFM-0222408A,HundredGigE0/2/0/11/2.4001,LHSTNYLH-0220610A,HundredGigE0/0/0/11/2.4001,100000,FRDLNYFM-0222402A,I1001/OTUC2/FRDLNYFM/LHSTNYLH,LHSTNYLH-0220604A,I1001/OTUC2/FRDLNYFM/LHSTNYLH,L1 circuit field is correct as provided
I1001/GE100/NYCKNYTY/NYCQNYLN,NYCKNYTY-0115404A,HundredGigE0/4/0/11/2.4001,NYCQNYLN-0223913A,HundredGigE0/5/0/10/2.4001,100000,NYCKNYTY-0115401A,I1001/OTUC2/NYCKNYTY/NYCQNYLN,NYCQNYLN-0223910A,I1001/OTUC2/NYCKNYTY/NYCQNYLN,L1 circuit field is correct as provided
I1002/GE40/GNBGNYFV/GNBGNYFV,GNBGNYFV-0000805A,FortyGigE0/5/0/4.4001,GNBGNYFV-0000807A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1041/GE100/SYOSNYGN/SYOSNYGN,SYOSNYGN-0121201A,HundredGigE0/4/0/1.4001,SYOSNYGN-0121203,HundredGigE0/0/1/1.4001,100000,,,,,L1 circuit field is correct as provided
I1001/GE100/NYCMNY18/NYCMNY36,NYCMNY18-0777203A,HundredGigE0/14/0/10/2.4001,NYCMNY36-0555605A,HundredGigE0/4/0/11/2.4001,100000,NYCMNY18-0777206A,I1001/OTUC2/NYCMNY18/NYCMNY36,NYCMNY36-0555602A,I1001/OTUC2/NYCMNY18/NYCMNY36,L1 circuit field is correct as provided
I1001/GE100/CARTNJCA/PAMBNJPM,CARTNJCA-0110315A,HundredGigE0/11/0/11/2.4001,PAMBNJPM-0330754A,HundredGigE0/1/0/11/2.4001,100000,CARTNJCA-0110321A,I1002/OTUC2/CARTNJCA/PAMBNJPM,PAMBNJPM-0330748A,I1002/OTUC2/CARTNJCA/PAMBNJPM,L1 circuit field is correct as provided
I1001/GE100/NYCKNY71/NYCKNYAL,NYCKNY71-0330507A,HundredGigE0/4/0/11/2.4001,NYCKNYAL-0223502A,HundredGigE0/7/0/11/2.4001,100000,NYCKNY71-0330510A,I1001/OTUC2/NYCKNY71/NYCKNYAL,NYCKNYAL-0223402A,I1001/OTUC2/NYCKNY71/NYCKNYAL,L1 circuit field is correct as provided
I1006/GE100/WAYNNJAWW01/WAYNNJAWW01,WAYNNJAWW010120110,HundredGigE0/0/1/1.4001,WAYNNJAWW010120111A,HundredGigE0/12/0/0.4001,100000,,,,,L1 circuit field is correct as provided
I1001/GE100/CHESPACB/LNSDPALD,CHESPACB-0111005A,HundredGigE0/2/0/11/2.4001,LNSDPALD-0111405A,HundredGigE0/0/0/11/2.4001,100000,CHESPACB-0111002A,I1001/OTUC2/CHESPACB/LNSDPALD,LNSDPALD-0111402A,I1001/OTUC2/CHESPACB/LNSDPALD,L1 circuit field is correct as provided
I1001/GE100/BLVLNJBE/NWRKNJ02,BLVLNJBE-0112609A,HundredGigE0/3/0/11/2.4001,NWRKNJ02-0662317A,HundredGigE0/1/0/10/2.4001,100000,BLVLNJBE-0112603A,I1001/OTUC2/BLVLNJBE/NWRKNJ02,NWRKNJ02-0662323A,I1001/OTUC2/BLVLNJBE/NWRKNJ02,L1 circuit field is correct as provided
I1002/GE100/MTVWNJMV/RCPKNJ01,MTVWNJMV-0111236A,HundredGigE0/14/0/11/2.4001,RCPKNJ01-0222116A,HundredGigE0/14/0/11/2.4001,100000,MTVWNJMV-0111337A,I1002/OTUC2/MTVWNJMV/RCPKNJ01,RCPKNJ01-0222122A,I1002/OTUC2/MTVWNJMV/RCPKNJ01,L1 circuit field is correct as provided
I1001/GE100/OKLDNJ01/RVDLNJPL,OKLDNJ01-0110115A,HundredGigE0/3/0/11/2.4001,RVDLNJPL-0226429A,HundredGigE0/3/0/11/2.4001,100000,OKLDNJ01-0110109A,I1001/OTUC2/OKLDNJ01/RVDLNJPL,RVDLNJPL-0226328A,I1001/OTUC2/OKLDNJ01/RVDLNJPL,L1 circuit field is correct as provided
I1001/GE100/PITBPACA/PITBPADT,PITBPACA-0220506A,HundredGigE0/0/0/11/2.4001,PITBPADT-16160515A,HundredGigE0/2/0/11/2.4001,100000,PITBPACA-0220503A,I1001/OTUC2/PITBPACA/PITBPADT,PITBPADT-16160512A,I1001/OTUC2/PITBPACA/PITBPADT,L1 circuit field is correct as provided
I1001/GE40/PAMBNJPM/PAMBNJPM,PAMBNJPM-0330754A,FortyGigE0/11/0/4.4001,PAMBNJPM-0330764A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1060/GE100/SYOSNYGN/SYOSNYGN,SYOSNYGN-0121214,HundredGigE0/0/1/1.4001,SYOSNYGN-0121217A,HundredGigE0/6/0/0.4001,100000,,,,,L1 circuit field is correct as provided
I1001/GE40/NYCQNYBA/NYCQNYBA,NYCQNYBA-0330235A,FortyGigE0/0/0/4.4001,NYCQNYBA-0330338A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/PTCYFLBK/TAMPFLXAW0E,PTCYFLBK-0130307A,HundredGigE0/14/0/11/1.4001,TAMPFLXAW0E1210202A,HundredGigE0/14/0/11/1.4001,100000,PTCYFLBK-0130308A,I1002/OTUC2/PTCYFLBK/TAMPFLXAW0E,TAMPFLXAW0E1210201A,I1002/OTUC2/PTCYFLBK/TAMPFLXAW0E,L1 circuit field is correct as provided
I1001/GE100/PHLAPAMK/PHLAPAPE,PHLAPAMK-0995501A,HundredGigE0/0/0/11/2.4001,PHLAPAPE-0222216A,HundredGigE0/0/0/11/2.4001,100000,PHLAPAMK-0995504A,I1001/OTUC2/PHLAPAMK/PHLAPAPE,PHLAPAPE-0222213A,I1001/OTUC2/PHLAPAMK/PHLAPAPE,L1 circuit field is correct as provided
I1001/GE100/HCKNNJHK/NWRKNJ03,HCKNNJHK-0440411A,HundredGigE0/3/0/11/2.4001,NWRKNJ03-0113104A,HundredGigE0/3/0/11/2.4001,100000,HCKNNJHK-0440405A,I1001/OTUC2/HCKNNJHK/NWRKNJ03,NWRKNJ03-0113110A,I1001/OTUC2/HCKNNJHK/NWRKNJ03,L1 circuit field is correct as provided
