<L3Circuits>,,,,,,,,,,
Name,NodeA,InterfaceA,NodeB,InterfaceB,Capacity,L1CircuitNodeA,L1CircuitPortA,L1CircuitNodeB,L1CircuitPortB,Tags
I1001/GE40/PHLAPAMK/PHLAPAMK,PHLAPAMK-0995604A,FortyGigE0/5/0/4.4001,PHLAPAMK-0995701A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/NYCMNY18/NYCMNYVS,NYCMNY18-0777203A,HundredGigE0/7/0/10/2.4001,NYCMNYVS-02220404A,HundredGigE0/4/0/11/2.4001,100000,NYCMNY18-0777206A,I1001/OTUC2/NYCMNY18/NYCMNYVS,NYCMNYVS-02220401A,I1001/OTUC2/NYCMNY18/NYCMNYVS,L1 circuit field is correct as provided
I1002/GE40/MHPCNYMP/MHPCNYMP,MHPCNYMP-0110105A,FortyGigE0/5/0/4.4001,MHPCNYMP-0110203A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1003/GE100/RVDLNJPL/WDPTNJWP,RVDLNJPL-0226429A,HundredGigE0/10/0/10/2.4001,WDPTNJWP-0110409A,HundredGigE0/11/0/11/2.4001,100000,RVDLNJPL-0226328A,I1001/OTUC2/RVDLNJPL/WDPTNJWP,WDPTNJWP-0110415A,I1001/OTUC2/RVDLNJPL/WDPTNJWP,L1 circuit field is correct as provided
I1001/GE100/LKWDNJLK/WHNGNJ01,LKWDNJLK-0221008A,HundredGigE0/1/0/11/2.4001,WHNGNJ01-0110331A,HundredGigE0/3/0/11/2.4001,100000,LKWDNJLK-0221002A,I1001/OTUC2/LKWDNJLK/WHNGNJ01,WHNGNJ01-0110337A,I1001/OTUC2/LKWDNJLK/WHNGNJ01,L1 circuit field is correct as provided
I1002/GE40/GNWDDEGN/GNWDDEGN,GNWDDEGN-0110304A,FortyGigE0/5/0/4.4001,GNWDDEGN-0110504A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1002/GE40/CMCHNJCH/CMCHNJCH,CMCHNJCH-0110612A,FortyGigE0/4/0/4.4001,CMCHNJCH-0110712A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/PSWYNJPI/PSWYNJPI,PSWYNJPI-0220509A,FortyGigE0/0/8/0,PSWYNJPI-0220608A,FortyGigE0/11/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/ARMRPAAR/WAYNPAWY,ARMRPAAR-0110312A,HundredGigE0/1/0/11/2.4001,WAYNPAWY-0226704A,HundredGigE0/11/0/11/2.4001,100000,ARMRPAAR-0110309A,I1001/OTUC2/ARMRPAAR/WAYNPAWY,WAYNPAWY-0226701A,I1001/OTUC2/ARMRPAAR/WAYNPAWY,L1 circuit field is correct as provided
I1002/GE100/CDKNNJCK/LVTNNJLI,CDKNNJCK-0004720A,HundredGigE0/2/0/11/2.4001,LVTNNJLI-0221002A,HundredGigE0/11/0/11/2.4001,100000,CDKNNJCK-00004714A,I1002/OTUC2/CDKNNJCK/LVTNNJLI,LVTNNJLI-0221008A,I1002/OTUC2/CDKNNJCK/LVTNNJLI,L1 circuit field is correct as provided
I1056/GE100/SYOSNYGN/SYOSNYGN,SYOSNYGN-0121214,HundredGigE0/0/1/1.4001,SYOSNYGN-0121217A,HundredGigE0/5/0/6.4001,100000,,,,,L1 circuit field is correct as provided
I1002/GE100/TAMPFLCMH02/TAMQFLHU,TAMPFLCMH0206316A,HundredGigE0/11/0/11/1.4001,TAMQFLHU-0131106A,HundredGigE0/8/0/11/1.4001,100000,TAMPFLCMH0206315A,I1001/OTUC2/TAMPFLCMH02/TAMQFLHU,TAMQFLHU-0131106B,I1001/OTUC2/TAMPFLCMH02/TAMQFLHU,L1 circuit field is correct as provided
I1001/GE100/MTVWNJMV/RVDLNJPL,MTVWNJMV-0111236A,HundredGigE0/7/0/11/2.4001,RVDLNJPL-0226429A,HundredGigE0/5/0/11/2.4001,100000,MTVWNJMV-0111337A,I1001/OTUC2/MTVWNJMV/RVDLNJPL,RVDLNJPL-0226328A,I1001/OTUC2/MTVWNJMV/RVDLNJPL,L1 circuit field is correct as provided
I1073/GE100/SYOSNYGN/SYOSNYGN,SYOSNYGN-0121214,HundredGigE0/0/1/1.4001,SYOSNYGN-0121217A,HundredGigE0/2/0/5.4001,100000,,,,,L1 circuit field is correct as provided
I1001/GE100/PHLAPALO/TULYPATU,PHLAPALO-12121208A,HundredGigE0/10/0/10/2.4001,TULYPATU-0225829A,HundredGigE0/0/0/11/2.4001,100000,PHLAPALO-12121202A,I1001/OTUC2/PHLAPALO/TULYPATU,TULYPATU-0225823A,I1001/OTUC2/PHLAPALO/TULYPATU,L1 circuit field is correct as provided
I1002/GE40/BRWDNYBW/BRWDNYBW,BRWDNYBW-0222313A,FortyGigE0/4/0/4.4001,BRWDNYBW-0222315A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/CMDNNJCE/MTHLNJMH,CMDNNJCE-0662225A,HundredGigE0/12/0/11/2.4001,MTHLNJMH-0111010A,HundredGigE0/14/0/11/2.4001,100000,CMDNNJCE-0662219A,I1001/OTUC2/CMDNNJCE/MTHLNJMH,MTHLNJMH-0111016A,I1001/OTUC2/CMDNNJCE/MTHLNJMH,L1 circuit field is correct as provided
I1002/GE100/CDKNNJCK/SUCCNJSU,CDKNNJCK-0004720A,HundredGigE0/0/0/11/2.4001,SUCCNJSU-0115114A,HundredGigE0/9/0/11/2.4001,100000,CDKNNJCK-00004714A,I1002/OTUC2/CDKNNJCK/SUCCNJSU,SUCCNJSU-0115108A,I1002/OTUC2/CDKNNJCK/SUCCNJSU,L1 circuit field is correct as provided
I1001/GE100/NYCQNYBA/NYCQNYNW,NYCQNYBA-0330235A,HundredGigE0/4/0/11/2.4001,NYCQNYNW-0221109A,HundredGigE0/7/0/11/2.4001,100000,NYCQNYBA-0330229A,I1001/OTUC2/NYCQNYBA/NYCQNYNW,NYCQNYNW-0221106A,I1001/OTUC2/NYCQNYBA/NYCQNYNW,L1 circuit field is correct as provided
I1001/GE100/DNLNNJDU/NBWKNJNB,DNLNNJDU-0111603A,HundredGigE0/12/0/11/2.4001,NBWKNJNB-0550221A,HundredGigE0/6/0/10/2.4001,100000,DNLNNJDU-0111609A,I1002/OTUC2/DNLNNJDU/NBWKNJNB,NBWKNJNB-0550209A,I1002/OTUC2/DNLNNJDU/NBWKNJNB,L1 circuit field is correct as provided
I1004/GE40/NYCXNYTR/NYCXNYTR,NYCXNYTR-0335017A,FortyGigE0/4/0/3.4001,NYCXNYTR-0335020A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/RYFRPARF/WAYNPAWY,RYFRPARF-0112033A,HundredGigE0/4/0/11/2.4001,WAYNPAWY-0226704A,HundredGigE0/7/0/10/2.4001,100000,RYFRPARF-0112037A,I1001/OTUC2/RYFRPARF/WAYNPAWY,WAYNPAWY-0226701A,I1001/OTUC2/RYFRPARF/WAYNPAWY,L1 circuit field is correct as provided
I1002/GE40/PHLAPAEV/PHLAPAEV,PHLAPAEV-0111705A,FortyGigE0/5/0/4.4001,PHLAPAEV-0111707A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/TRTWNYTT/TRTWNYTT,TRTWNYTT-0221824A,FortyGigE0/1/0/4.4001,TRTWNYTT-0221921A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/FNPKNJFP/NBWKNJNB,FNPKNJFP-0110116A,HundredGigE0/3/0/11/2.4001,NBWKNJNB-0550215A,HundredGigE0/2/0/11/2.4001,100000,FNPKNJFP-0110122A,I1001/OTUC2/FNPKNJFP/NBWKNJNB,NBWKNJNB-0550209A,I1001/OTUC2/FNPKNJFP/NBWKNJNB,L1 circuit field is correct as provided
I1001/GE100/LVTWNYLT/RSLNNYRO,LVTWNYLT-0111908A,HundredGigE0/15/0/11/2.4001,RSLNNYRO-0222109A,HundredGigE0/7/0/11/2.4001,100000,LVTWNYLT-0111902A,I1001/OTUC2/LVTWNYLT/RSLNNYRO,RSLNNYRO-0222103A,I1001/OTUC2/LVTWNYLT/RSLNNYRO,L1 circuit field is correct as provided
I1001/GE100/RDNGPARE/WAYNPAWY,RDNGPARE-0332836A,HundredGigE0/4/0/11/2.4001,WAYNPAWY-0226704A,HundredGigE0/7/0/11/2.4001,100000,RDNGPARE-0332839A,I1001/OTUC2/RDNGPARE/WAYNPAWY,WAYNPAWY-0226701A,I1001/OTUC2/RDNGPARE/WAYNPAWY,L1 circuit field is correct as provided
I1002/GE40/PTCYFLBK/PTCYFLBK,PTCYFLBK-0130306A,FortyGigE0/0/7/0,PTCYFLBK-0130307A,FortyGigE0/12/0/1.4001,40000,,,,,L1 circuit field is correct as provided
I1002/GE40/HMPSNYHS/HMPSNYHS,HMPSNYHS-0332417A,FortyGigE0/4/0/4.4001,HMPSNYHS-0332419A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1011/GE40/NYCMNY13/NYCMNY13,NYCMNY13-0991715A,FortyGigE0/0/8/0,NYCMNY13-0991815A,FortyGigE0/0/0/3.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/NYCRNYNS/NYCRNYNS,NYCRNYNS-0330110A,FortyGigE0/1/0/4.4001,NYCRNYNS-0330112A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/PGTWPAPT/WAYNPAWY,PGTWPAPT-0110703A,HundredGigE0/4/0/11/2.4001,WAYNPAWY-0226704A,HundredGigE0/13/0/11/2.4001,100000,PGTWPAPT-0110705A,I1001/OTUC2/PGTWPAPT/WAYNPAWY,WAYNPAWY-0226701A,I1001/OTUC2/PGTWPAPT/WAYNPAWY,L1 circuit field is correct as provided
I1002/GE40/NYCMNYVS/NYCMNYVS,NYCMNYVS-02220404A,FortyGigE0/4/0/4.4001,NYCMNYVS-02220600A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1037/GE100/SYOSNYGN/SYOSNYGN,SYOSNYGN-0121201A,HundredGigE0/4/0/0.4001,SYOSNYGN-0121203,HundredGigE0/0/1/1.4001,100000,,,,,L1 circuit field is correct as provided
I1001/GE100/PRDYNYPD/YNKRNYYN,PRDYNYPD-0115305A,HundredGigE0/0/0/10/2.4001,YNKRNYYN-0337806A,HundredGigE0/0/0/10/2.4001,100000,PRDYNYPD-0115302A,I1001/OTUC2/PRDYNYPD/YNKRNYYN,YNKRNYYN-0337803A,I1001/OTUC2/PRDYNYPD/YNKRNYYN,L1 circuit field is correct as provided
I1001/GE40/OSNGNYOS/OSNGNYOS,OSNGNYOS-0222110A,FortyGigE0/2/0/4.4001,OSNGNYOS-0222112A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/CDKNNJCK/SUCCNJSU,CDKNNJCK-0004720A,HundredGigE0/7/0/11/2.4001,SUCCNJSU-0115114A,HundredGigE0/12/0/11/2.4001,100000,CDKNNJCK-00004714A,I1001/OTUC2/CDKNNJCK/SUCCNJSU,SUCCNJSU-0115108A,I1001/OTUC2/CDKNNJCK/SUCCNJSU,L1 circuit field is correct as provided
I1001/GE100/CARTNJCA/WSFDNJWS,CARTNJCA-0110315A,HundredGigE0/12/0/11/2.4001,WSFDNJWS-0223203A,HundredGigE0/14/0/10/2.4001,100000,CARTNJCA-0110321A,I1002/OTUC2/CARTNJCA/WSFDNJWS,WSFDNJWS-0223209A,I1002/OTUC2/CARTNJCA/WSFDNJWS,L1 circuit field is correct as provided
I1001/GE100/OYBANYOY/WNTGNYWT,OYBANYOY-0112313A,HundredGigE0/3/0/10/2.4001,WNTGNYWT-0114509A,HundredGigE0/1/0/11/2.4001,100000,OYBANYOY-0112307A,I1001/OTUC2/OYBANYOY/WNTGNYWT,WNTGNYWT-0114503A,I1001/OTUC2/OYBANYOY/WNTGNYWT,L1 circuit field is correct as provided
I1001/GE100/NWRCNYNR/PKSKNYPS,NWRCNYNR-0330604A,HundredGigE0/1/0/11/2.4001,PKSKNYPS-0110520A,HundredGigE0/0/0/11/2.4001,100000,NWRCNYNR-0330601A,I1001/OTUC2/NWRCNYNR/PKSKNYPS,PKSKNYPS-0110517A,I1001/OTUC2/NWRCNYNR/PKSKNYPS,L1 circuit field is correct as provided
I1002/GE40/EMERNJEM/EMERNJEM,EMERNJEM-0112006A,FortyGigE0/4/0/4.4001,EMERNJEM-0112017A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/RSLLNJRL/WSFDNJWS,RSLLNJRL-0223325A,HundredGigE0/3/0/11/2.4001,WSFDNJWS-0223203A,HundredGigE0/0/0/11/2.4001,100000,RSLLNJRL-0223331A,I1001/OTUC2/RSLLNJRL/WSFDNJWS,WSFDNJWS-0223209A,I1001/OTUC2/RSLLNJRL/WSFDNJWS,L1 circuit field is correct as provided
I1003/GE40/NYCKNY77/NYCKNY77,NYCKNY77-0111702A,FortyGigE0/0/0/3.4001,NYCKNY77-0111802A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1003/GE40/NYCXNYMH/NYCXNYMH,NYCXNYMH-0223404A,FortyGigE0/0/0/0.4001,NYCXNYMH-0223407A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/LUTZFLBC/PTCYFLBK,LUTZFLBC-0110102A,HundredGigE0/5/0/11/1.4001,PTCYFLBK-0130307A,HundredGigE0/7/0/10/1.4001,100000,LUTZFLBC-0110102B,I1001/OTUC2/LUTZFLBC/PTCYFLBK,PTCYFLBK-0130308A,I1001/OTUC2/LUTZFLBC/PTCYFLBK,L1 circuit field is correct as provided
I1001/GE100/LGBRNJLB/MNSQNJ01,LGBRNJLB-0111502A,HundredGigE0/7/0/11/2.4001,MNSQNJ01-0111908A,HundredGigE0/4/0/11/2.4001,100000,LGBRNJLB-0111503A,I1001/OTUC2/LGBRNJLB/MNSQNJ01,MNSQNJ01-0111902A,I1001/OTUC2/LGBRNJLB/MNSQNJ01,L1 circuit field is correct as provided
I1001/GE40/FRPTNYFP/FRPTNYFP,FRPTNYFP-0224111A,FortyGigE0/0/0/4.4001,FRPTNYFP-0224115A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/DNVLNJRK/DNVLNJRK,DNVLNJRK-0110405A,FortyGigE0/0/8/0,DNVLNJRK-0110406A,FortyGigE0/11/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/OXFRPAOX/WCHSPAWC,OXFRPAOX-0110520A,HundredGigE0/4/0/11/2.4001,WCHSPAWC-0220619A,HundredGigE0/5/0/11/2.4001,100000,OXFRPAOX-0110514A,I1001/OTUC2/OXFRPAOX/WCHSPAWC,WCHSPAWC-0220625A,I1001/OTUC2/OXFRPAOX/WCHSPAWC,L1 circuit field is correct as provided
I1002/GE40/NYCKNYFA/NYCKNYFA,NYCKNYFA-0442605A,FortyGigE0/0/7/0,NYCKNYFA-0442607A,FortyGigE0/4/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/NYCKNYAY/NYCKNYAY,NYCKNYAY-0335316A,FortyGigE0/1/0/4.4001,NYCKNYAY-0335322A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/RVEDNJOR/RVEDNJOR,RVEDNJOR-0110124A,FortyGigE0/0/8/0,RVEDNJOR-0110319A,FortyGigE0/11/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/WLMGDEWL/WLMGDEWL,WLMGDEWL-0117813A,FortyGigE0/0/7/0,WLMGDEWL-0117815A,FortyGigE0/5/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/NYCXNYCR/NYCXNYKB,NYCXNYCR-0555804A,HundredGigE0/12/0/11/2.4001,NYCXNYKB-0224404A,HundredGigE0/5/0/10/2.4001,100000,NYCXNYCR-0555801A,I1001/OTUC2/NYCXNYCR/NYCXNYKB,NYCXNYKB-0224401A,I1001/OTUC2/NYCXNYCR/NYCXNYKB,L1 circuit field is correct as provided
I1002/GE100/NYCMNY36/NYCMNY56,NYCMNY36-0555605A,HundredGigE0/0/0/11/2.4001,NYCMNY56-0880501A,HundredGigE0/10/0/11/2.4001,100000,NYCMNY36-0555602A,I1001/OTUC2/NYCMNY36/NYCMNY56,NYCMNY56-0880504A,I1001/OTUC2/NYCMNY36/NYCMNY56,L1 circuit field is correct as provided
I1069/GE100/SYOSNYGN/SYOSNYGN,SYOSNYGN-0121201A,HundredGigE0/6/0/5.4001,SYOSNYGN-0121204,HundredGigE0/0/1/1.4001,100000,,,,,L1 circuit field is correct as provided
I1079/GE100/SYOSNYGN/SYOSNYGN,SYOSNYGN-0121214,HundredGigE0/0/1/1.4001,SYOSNYGN-0121217A,HundredGigE0/7/0/0.4001,100000,,,,,L1 circuit field is correct as provided
I1005/GE100/RVDLNJPL/WAYNNJAWW01,RVDLNJPL-0226429A,HundredGigE0/0/0/10/2.4001,WAYNNJAWW010120411A,HundredGigE0/10/0/11/2.4001,100000,RVDLNJPL-0226328A,I1004/OTUC2/RVDLNJPL/WAYNNJAWW01,WAYNNJAWW010120411B,I1004/OTUC2/RVDLNJPL/WAYNNJAWW01,L1 circuit field is correct as provided
I1001/GE100/NYACNYNK/ORBGNYOB,NYACNYNK-0220608A,HundredGigE0/12/0/10/2.4001,ORBGNYOB-01108906A,HundredGigE0/4/0/11/2.4001,100000,NYACNYNK-0220602A,I1001/OTUC2/NYACNYNK/ORBGNYOB,ORBGNYOB-01108909A,I1001/OTUC2/NYACNYNK/ORBGNYOB,L1 circuit field is correct as provided
I1001/GE40/ARVGNYAV/ARVGNYAV,ARVGNYAV-0000719A,FortyGigE0/1/0/4.4001,ARVGNYAV-0000820A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/GRNKNYGN/NYCKNYAL,GRNKNYGN-0223934A,HundredGigE0/10/0/10/2.4001,NYCKNYAL-0223502A,HundredGigE0/0/0/11/2.4001,100000,GRNKNYGN-0223928A,I1001/OTUC2/GRNKNYGN/NYCKNYAL,NYCKNYAL-0223402A,I1001/OTUC2/GRNKNYGN/NYCKNYAL,L1 circuit field is correct as provided
I1002/GE40/NYCMNYBS/NYCMNYBS,NYCMNYBS-15152308A,FortyGigE0/0/7/0,NYCMNYBS-15153211A,FortyGigE0/5/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/LBRTNYLB/LVMNNYLV,LBRTNYLB-0110608A,HundredGigE0/0/0/0.4001,LVMNNYLV-0110409A,HundredGigE0/0/0/0.4001,100000,,,,,L1 circuit not found
I1001/GE40/NWRKNJ03/NWRKNJ03,NWRKNJ03-0113018A,FortyGigE0/0/8/0,NWRKNJ03-0113104A,FortyGigE0/11/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1022/GE100/SYOSNYGN/SYOSNYGN,SYOSNYGN-0121215,HundredGigE0/0/1/1.4001,SYOSNYGN-0121217A,HundredGigE0/9/0/1.4001,100000,,,,,L1 circuit field is correct as provided
I1001/GE100/LNBHNYLB/LVTWNYLT,LNBHNYLB-0220209A,HundredGigE0/7/0/11/2.4001,LVTWNYLT-0111908A,HundredGigE0/6/0/10/2.4001,100000,LNBHNYLB-0220203A,I1001/OTUC2/LNBHNYLB/LVTWNYLT,LVTWNYLT-0111902A,I1001/OTUC2/LNBHNYLB/LVTWNYLT,L1 circuit field is correct as provided
I1001/GE100/PITBPANS/TRCKPATC,PITBPANS-0114309A,HundredGigE0/3/0/11/2.4001,TRCKPATC-0331401A,HundredGigE0/0/0/11/2.4001,100000,PITBPANS-0114306A,I1001/OTUC2/PITBPANS/TRCKPATC,TRCKPATC-0331404A,I1001/OTUC2/PITBPANS/TRCKPATC,L1 circuit field is correct as provided
I1004/GE40/NYCKNYBU/NYCKNYBU,NYCKNYBU-0338008A,FortyGigE0/5/0/3.4001,NYCKNYBU-0338014A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/SPLKNJSL/TMRVNJTR,SPLKNJSL-0111138A,HundredGigE0/3/0/11/2.4001,TMRVNJTR-0112109A,HundredGigE0/1/0/11/2.4001,100000,SPLKNJSL-0111132A,I1001/OTUC2/SPLKNJSL/TMRVNJTR,TMRVNJTR-0112103A,I1001/OTUC2/SPLKNJSL/TMRVNJTR,L1 circuit field is correct as provided
I1001/GE40/PHLAPALO/PHLAPALO,PHLAPALO-12121208A,FortyGigE0/5/0/4.4001,PHLAPALO-12121501A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/RTFRNJRU/RTFRNJRU,RTFRNJRU-0114029A,FortyGigE0/0/8/0,RTFRNJRU-0114229A,FortyGigE0/11/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/YNKRNYYN/YNKRNYYN,YNKRNYYN-0337806A,FortyGigE0/9/0/4.4001,YNKRNYYN-0337808A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/NYCKNYBR/WHPLNYWP,NYCKNYBR-0110304A,HundredGigE0/7/0/11/2.4001,WHPLNYWP-0225209A,HundredGigE0/4/0/11/2.4001,100000,NYCKNYBR-0110301A,I1001/OTUC2/NYCKNYBR/WHPLNYWP,WHPLNYWP-0225212A,I1001/OTUC2/NYCKNYBR/WHPLNYWP,L1 circuit field is correct as provided
I1002/GE100/SALMNJSA/VNLDNJVL,SALMNJSA-0112803A,HundredGigE0/12/0/11/2.4001,VNLDNJVL-0111703A,HundredGigE0/12/0/11/2.4001,100000,SALMNJSA-0112809A,I1002/OTUC2/SALMNJSA/VNLDNJVL,VNLDNJVL-0111709A,I1002/OTUC2/SALMNJSA/VNLDNJVL,L1 circuit field is correct as provided
I1001/GE40/UNCYNJ02/UNCYNJ02,UNCYNJ02-0220109A,FortyGigE0/11/0/4.4001,UNCYNJ02-0228016A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1003/GE40/NYCMNY18/NYCMNY18,NYCMNY18-0777203A,FortyGigE0/11/0/3.4001,NYCMNY18-0778102A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/RCPKNJ01/RCPKNJ01,RCPKNJ01-0221130A,FortyGigE0/0/8/0,RCPKNJ01-0222116A,FortyGigE0/11/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1002/GE40/WHPLNYWP/WHPLNYWP,WHPLNYWP-0221206A,FortyGigE0/0/8/0,WHPLNYWP-0225209A,FortyGigE0/11/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1002/GE100/WAYNPAWY/WNRTPAAHW01,WAYNPAWY-0226704A,HundredGigE0/6/0/10/2.4001,WNRTPAAHW010130204A,HundredGigE0/12/0/11/2.4001,100000,WAYNPAWY-0226701A,I1002/OTUC2/WAYNPAWY/WNRTPAAHW01,WNRTPAAHW010130204B,I1002/OTUC2/WAYNPAWY/WNRTPAAHW01,L1 circuit field is correct as provided
I1001/GE100/PRBGPAPB/WCHSPAWC,PRBGPAPB-0111906A,HundredGigE0/4/0/11/2.4001,WCHSPAWC-0220619A,HundredGigE0/6/0/11/2.4001,100000,PRBGPAPB-0111908A,I1001/OTUC2/PRBGPAPB/WCHSPAWC,WCHSPAWC-0220625A,I1001/OTUC2/PRBGPAPB/WCHSPAWC,L1 circuit field is correct as provided
I1002/GE100/BLTNMN86/GLVYMNNV,BLTNMN86H0301A10103A,HundredGigE0/1/0/11/2.4001,GLVYMNNV-01S20403A,HundredGigE0/9/0/10/2.4001,100000,,,,,L1 circuit field is correct as provided
I1002/GE40/RMSYNJRM/RMSYNJRM,RMSYNJRM-0111607A,FortyGigE0/12/0/4.4001,RMSYNJRM-0111730A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/ATHGNJAH/TMRVNJTR,ATHGNJAH-0111022A,HundredGigE0/4/0/11/2.4001,TMRVNJTR-0112109A,HundredGigE0/5/0/10/2.4001,100000,ATHGNJAH-0111016A,I1001/OTUC2/ATHGNJAH/TMRVNJTR,TMRVNJTR-0112103A,I1001/OTUC2/ATHGNJAH/TMRVNJTR,L1 circuit field is correct as provided
I1029/GE100/SYOSNYGN/SYOSNYGN,SYOSNYGN-0121201A,HundredGigE0/15/0/0.4001,SYOSNYGN-0121203,HundredGigE0/0/1/1.4001,100000,,,,,L1 circuit field is correct as provided
I1001/GE100/RHWYNJRA/WSFDNJWS,RHWYNJRA-0112808A,HundredGigE0/3/0/11/2.4001,WSFDNJWS-0223203A,HundredGigE0/2/0/11/2.4001,100000,RHWYNJRA-0112802A,I1001/OTUC2/RHWYNJRA/WSFDNJWS,WSFDNJWS-0223209A,I1001/OTUC2/RHWYNJRA/WSFDNJWS,L1 circuit field is correct as provided
I1001/GE100/MSTCNYMC/PJSTNYPJ,MSTCNYMC-0111608A,HundredGigE0/4/0/11/2.4001,PJSTNYPJ-0110107A,HundredGigE0/13/0/11/2.4001,100000,MSTCNYMC-0111602A,I1001/OTUC2/MSTCNYMC/PJSTNYPJ,PJSTNYPJ-0110113A,I1001/OTUC2/MSTCNYMC/PJSTNYPJ,L1 circuit field is correct as provided
I1001/GE100/NYCMNY56/NYCQNYFL,NYCMNY56-0880501A,HundredGigE0/12/0/11/2.4001,NYCQNYFL-0220205A,HundredGigE0/6/0/10/2.4001,100000,NYCMNY56-0880504A,I1001/OTUC2/NYCMNY56/NYCQNYFL,NYCQNYFL-0220202A,I1001/OTUC2/NYCMNY56/NYCQNYFL,L1 circuit field is correct as provided
I1001/GE100/DESMIAFT/DESPIAMR,DESMIAFT-0221703A,HundredGigE0/11/0/11/2.4001,DESPIAMR-0110101B,HundredGigE0/1/0/11/2.4001,100000,DESMIAFT-0221702A,I1001/OTUC2/DESMIAFT/DESPIAMR,DESPIAMR-0110101C,I1001/OTUC2/DESMIAFT/DESPIAMR,L1 circuit field is correct as provided
I1003/GE40/NYCKNYBR/NYCKNYBR,NYCKNYBR-0110202A,FortyGigE0/0/8/0,NYCKNYBR-0110304A,FortyGigE0/9/0/3.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/NYCQNYIA/NYCQNYLN,NYCQNYIA-0224919A,HundredGigE0/0/0/11/2.4001,NYCQNYLN-0223913A,HundredGigE0/9/0/10/2.4001,100000,NYCQNYIA-0224922A,I1001/OTUC2/NYCQNYIA/NYCQNYLN,NYCQNYLN-0223910A,I1001/OTUC2/NYCQNYIA/NYCQNYLN,L1 circuit field is correct as provided
I1002/GE100/NBWKNJNB/NWRKNJ02,NBWKNJNB-0550221A,HundredGigE0/14/0/11/2.4001,NWRKNJ02-0662311A,HundredGigE0/13/0/11/2.4001,100000,NBWKNJNB-0550209A,I1008/OTUC2/NBWKNJNB/NWRKNJ02,NWRKNJ02-0662323A,I1008/OTUC2/NBWKNJNB/NWRKNJ02,L1 circuit field is correct as provided
I1001/GE100/DNVLNJRK/LVTNNJLI,DNVLNJRK-0110406A,HundredGigE0/12/0/11/2.4001,LVTNNJLI-0221002A,HundredGigE0/15/0/10/2.4001,100000,DNVLNJRK-0110412A,I1001/OTUC2/DNVLNJRK/LVTNNJLI,LVTNNJLI-0221008A,I1001/OTUC2/DNVLNJRK/LVTNNJLI,L1 circuit field is correct as provided
I1062/GE100/SYOSNYGN/SYOSNYGN,SYOSNYGN-0121214,HundredGigE0/0/1/1.4001,SYOSNYGN-0121217A,HundredGigE0/2/0/0.4001,100000,,,,,L1 circuit field is correct as provided
