CKT_TRAIL_ID,TRAIL_NAME,A_EQUIPMENT_TID,A_EQUIPMENT_MODEL,Z_EQUIPMENT_TID,Z_EQUIPMENT_MODEL
126917,I1001/GE100/EATNNJEA/LGBRNJLB,EATNNJEA-0111628A,CISCO_NCS4016_SHELF,LGBRNJLB-0111502A,CISCO_NCS4016_SHELF
113012,I1001/GE100/EDSNNJED/NBWKNJNB,EDSNNJED-0223103A,CISCO_NCS4016_SHELF,NBWKNJNB-0550221A,CISCO_NCS4016_SHELF
113013,I1001/GE100/EDSNNJED/WSFDNJWS,EDSNNJED-0223103A,CISCO_NCS4016_SHELF,WSFDNJWS-0223203A,CISCO_NCS4016_SHELF
133273,I1001/GE100/EDTNPAED/PHLAPAMK,EDTNPAED-0111808A,CISCO_NCS4016_SHELF,PHLAPAMK-0995501A,CISCO_NCS4016_SHELF
133272,I1001/GE100/EDTNPAED/TULYPATU,EDTNPAED-0111808A,CISCO_NCS4016_SHELF,TULYPATU-0225829A,CISCO_NCS4016_SHELF
126671,I1001/GE100/EDVRNJ01/LKWDNJLK,EDVRNJ01-0110409A,CISCO_NCS4016_SHELF,LKWDNJLK-0221008A,CISCO_NCS4016_SHELF
126670,I1001/GE100/EDVRNJ01/TMRVNJTR,EDVRNJ01-0110409A,CISCO_NCS4016_SHELF,TMRVNJTR-0112109A,CISCO_NCS4016_SHELF
128400,I1001/GE100/EGTWNJET/FRHDNJFH,EGTWNJET-0110609A,CISCO_NCS4016_SHELF,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF
128401,I1001/GE100/EGTWNJET/NBWKNJNB,EGTWNJET-0110609A,CISCO_NCS4016_SHELF,NBWKNJNB-0550215A,CISCO_NCS4016_SHELF
94931,I1001/GE100/ELZBNJEL/NWRKNJ02,ELZBNJEL-0330403A,CISCO_NCS4016_SHELF,NWRKNJ02-0662311A,CISCO_NCS4016_SHELF
96642,I1001/GE100/ELZBNJEL/WSFDNJWS,ELZBNJEL-0330403A,CISCO_NCS4016_SHELF,WSFDNJWS-0223203A,CISCO_NCS4016_SHELF
121604,I1001/GE100/EMMSPAXE/MCNGPAXM,EMMSPAXE-0110216A,CISCO_NCS4016_SHELF,MCNGPAXM-0110108A,CISCO NCS4009 SHELF
102308,I1001/GE100/EMMSPAXE/PTTWPAPT,EMMSPAXE-0110216A,CISCO_NCS4016_SHELF,PTTWPAPT-0220906A,CISCO_NCS4016_SHELF
131731,I1001/GE100/ENPTNYEN/HNSTNYHU,ENPTNYEN-0113629A,CISCO_NCS4016_SHELF,HNSTNYHU-0115430A,CISCO_NCS4016_SHELF
102508,I1001/GE100/ENWDNJEN/HCKNNJHK,ENWDNJEN-0228312A,CISCO_NCS4016_SHELF,HCKNNJHK-0440411A,CISCO_NCS4016_SHELF
102509,I1001/GE100/ENWDNJEN/UNCYNJ02,ENWDNJEN-0228312A,CISCO_NCS4016_SHELF,UNCYNJ02-0220109A,CISCO_NCS4016_SHELF
94968,I1001/GE100/EORNNJEO/LVTNNJLI,EORNNJEO-0112349A,CISCO_NCS4016_SHELF,LVTNNJLI-0221002A,CISCO_NCS4016_SHELF
94970,I1001/GE100/EORNNJEO/NWRKNJ02,EORNNJEO-0112349A,CISCO_NCS4016_SHELF,NWRKNJ02-0662311A,CISCO_NCS4016_SHELF
103863,I1001/GE100/ERLKNJEL/RVDLNJPL,ERLKNJEL-0110702A,CISCO_NCS4016_SHELF,RVDLNJPL-0226429A,CISCO_NCS4016_SHELF
103864,I1001/GE100/ERLKNJEL/SUCCNJSU,ERLKNJEL-0110702A,CISCO_NCS4016_SHELF,SUCCNJSU-0115114A,CISCO_NCS4016_SHELF
113666,I1001/GE100/EXTNPAEX/WAYNPAWY,EXTNPAEX-0114203A,CISCO_NCS4016_SHELF,WAYNPAWY-0226704A,CISCO_NCS4016_SHELF
113665,I1001/GE100/EXTNPAEX/WCHSPAWC,EXTNPAEX-0114203A,CISCO_NCS4016_SHELF,WCHSPAWC-0220619A,CISCO_NCS4016_SHELF
113668,I1001/GE100/FETNDEFE/NWCSDENC,FETNDEFE-0111503A,CISCO_NCS4016_SHELF,NWCSDENC-0117913A,CISCO_NCS4016_SHELF
113667,I1001/GE100/FETNDEFE/NWRKDENB,FETNDEFE-0111503A,CISCO_NCS4016_SHELF,NWRKDENB-0114705A,CISCO_NCS4016_SHELF
133456,I1001/GE100/FLPKNYFP/GRCYNYGC,FLPKNYFP-0330608A,CISCO_NCS4016_SHELF,GRCYNYGC-0151107A,CISCO_NCS4016_SHELF
133457,I1001/GE100/FLPKNYFP/GRNKNYGN,FLPKNYFP-0330608A,CISCO_NCS4016_SHELF,GRNKNYGN-0223934A,CISCO_NCS4016_SHELF
