TRAIL_ID,TRAIL_NAME,BANDWIDTH,VERSION,STATUS,TYPE,A_SITE_NAME,Z_SITE_NAME,REQUESTED_BANDWIDTH,TOTAL_CHANNELS,TOTAL_CHANNELS_USED,MILEAGE,A_EQUIPMENT_TID,A_EQUIPMENT_TYPE,A_EQUIPMENT_VENDOR,A_PORT_NAME,A_PORT_AID,Z_EQUIPMENT_TID,Z_EQUIPMENT_TYPE,Z_EQUIPMENT_VENDOR,Z_PORT_NAME,Z_PORT_AID,A_EQUIPMENT_MODEL,Z_EQUIPMENT_MODEL,A_NETWORK_DOMAIN,Z_NETWORK_DOMAIN,A_EQUIPMENT_PHYSICAL_TID,Z_EQUIPMENT_PHYSICAL_TID
19033,I1002/OM96/KRLDWADW/KRLDWAID,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,KRLDWADW,KRLDWAID,DWDM96,96,14,0.29,KRLDWADW-011210A,CIENA_T6500,CIENA,5 Line Out,LINE-1-6-5,KRLDWAID-011805A,CIENA_T6500,CIENA,8 Line In,LINE-1-7-8,CI_6500_TSHELF,CI_6500_TSHELF,Ciena_NOPAC,Ciena_NOPAC,KRLDWADW-011210A,KRLDWAID-011805A
19694,I1001/OM96/HMTNMAWI/IPSWMACO,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,HMTNMAWI,IPSWMACO,DWDM96,96,14,5,HMTNMAWI-0111340A,CIENA_T6500,CIENA,8 Line In,LINE-1-6-8,IPSWMACO-0111006A,CIENA_T6500,CIENA,5 Line Out,LINE-1-7-5,CI_6500_TSHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,HMTNMAWI-0111340A,IPSWMACO-0111006A
7568,I1001/OM96/ANNPMDAN/PARLMDPA,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,ANNPMDAN,PARLMDPA,DWDM96,96,2,3,ANNPMDAN-0223301A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-5-5,PARLMDPA-0114220A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-6-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA3_4_5,Ciena_FSA3_4_5,ANNPMDAN-0223301A,PARLMDPA-0114220A
94000,I1001/OM96/INDPMOBH/OVPLKSGQ,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,INDPMOBH,OVPLKSGQ,DWDM96,96,14,14,INDPMOBH-02208A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-6-5,OVPLKSGQHAA01621A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_SOCENT,Ciena_SOCENT,INDPMOBH-02208A,OVPLKSGQHAA01621A
6102,I1001/OM96/ALBYNYSS/EGNBNYEG,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,ALBYNYSS,EGNBNYEG,DWDM96,96,1,5,ALBYNYSS-04473A12A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-8-5,EGNBNYEG-0113000A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA2_8,Ciena_FSA2_8,ALBYNYSS-04473A12A,EGNBNYEG-0113000A
6111,I1001/OM96/EGNBNYEG/NGRNNYNG,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,EGNBNYEG,NGRNNYNG,DWDM96,96,3,7,EGNBNYEG-0113000A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-6-5,NGRNNYNG-0112000A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA2_8,Ciena_FSA2_8,EGNBNYEG-0113000A,NGRNNYNG-0112000A
7360,I1001/OM96/EKRGMDEL/ELCYMDEL,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,EKRGMDEL,ELCYMDEL,DWDM96,96,22,7,EKRGMDEL-0112215A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-7-5,ELCYMDEL-0112908A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-5-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA3_4_5,Ciena_FSA3_4_5,EKRGMDEL-0112215A,ELCYMDEL-0112908A
19555,I1001/OM96/HLWDMDHW/MCHVMDMC,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,HLWDMDHW,MCHVMDMC,DWDM96,96,6,11,HLWDMDHW-0110606A,Ciena 6500 T-12P SHELF,CIENA,5 Line Out,LINE-1-6-5,MCHVMDMC-0110705A,Ciena 6500 T-12P SHELF,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12P SHELF,Ciena 6500 T-12P SHELF,Ciena_FSA3_4_5,Ciena_FSA3_4_5,HLWDMDHW-0110606A,MCHVMDMC-0110705A
19760,I1001/OM96/DWGVILMC/WSMTILGCH02,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,DWGVILMC,WSMTILGCH02,DWDM96,96,29,3,DWGVILMC-011460A,CIENA_T6500,CIENA,5 Line Out,LINE-1-6-5,WSMTILGCH020130401A,CIENA_T6500,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12 SHELF,CI_6500_TSHELF,Ciena_NOCENT,Ciena_FSA3_4_5,DWGVILMC-011460A,WSMTILGCH020130401A
19971,I1001/OM96/KENUWADQ/RDMEWA22H08,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,KENUWADQ,RDMEWA22H08,DWDM96,96,17,21,KENUWADQ-0113232A,CIENA_T6500,CIENA,5 Line Out,LINE-1-5-5,RDMEWA22H080121406A,CIENA_T6500,CIENA,8 Line In,LINE-1-6-8,CI_6500_TSHELF,Ciena 6500 T-12 SHELF,Ciena_NOPAC,Ciena_NOPAC,KENUWADQ-0113232A,RDMEWA22H080121406A
